WHO_REGION,ISO,Country
EMR,AFG,Afghanistan
EUR,ALB,Albania
AFR,DZA,Algeria
EUR,AND,Andorra
AFR,AGO,Angola
AMR,ATG,Antigua and Barbuda
AMR,ARG,Argentina
EUR,ARM,Armenia
WPR,AUS,Australia
EUR,AUT,Austria
EUR,AZE,Azerbaijan
AMR,BHS,Bahamas (the)
EMR,BHR,Bahrain
SEAR,BGD,Bangladesh
AMR,BRB,Barbados
EUR,BLR,Belarus
EUR,BEL,Belgium
AMR,BLZ,Belize
AFR,BEN,Benin
SEAR,BTN,Bhutan
AMR,BOL,Bolivia (Plurinational State of)
EUR,BIH,Bosnia and Herzegovina
AFR,BWA,Botswana
AMR,BRA,Brazil
WPR,BRN,Brunei Darussalam
EUR,BGR,Bulgaria
AFR,BFA,Burkina Faso
AFR,BDI,Burundi
AFR,CPV,Cabo Verde
WPR,KHM,Cambodia
AFR,CMR,Cameroon
AMR,CAN,Canada
AFR,CAF,Central African Republic (the)
AFR,TCD,Chad
AMR,CHL,Chile
WPR,CHN,China
AMR,COL,Colombia
AFR,COM,Comoros (the)
AFR,COG,Congo (the)
WPR,COK,Cook Islands
AMR,CRI,Costa Rica
AFR,CIV,Côte d'Ivoire
EUR,HRV,Croatia
AMR,CUB,Cuba
EUR,CYP,Cyprus
EUR,CZE,Czech Republic (the)
SEAR,PRK,Democratic People's Republic of Korea (the)
AFR,COD,Democratic Republic of the Congo (the)
EUR,DNK,Denmark
EMR,DJI,Djibouti
AMR,DMA,Dominica
AMR,DOM,Dominican Republic (the)
AMR,ECU,Ecuador
EMR,EGY,Egypt
AMR,SLV,El Salvador
AFR,GNQ,Equatorial Guinea
AFR,ERI,Eritrea
EUR,EST,Estonia
AFR,ETH,Ethiopia
WPR,FJI,Fiji
EUR,FIN,Finland
EUR,FRA,France
AFR,GAB,Gabon
AFR,GMB,Gambia (the)
EUR,GEO,Georgia
EUR,DEU,Germany
AFR,GHA,Ghana
EUR,GRC,Greece
AMR,GRD,Grenada
AMR,GTM,Guatemala
AFR,GIN,Guinea
AFR,GNB,Guinea-Bissau
AMR,GUY,Guyana
AMR,HTI,Haiti
AMR,HND,Honduras
EUR,HUN,Hungary
EUR,ISL,Iceland
SEAR,IND,India
SEAR,IDN,Indonesia
EMR,IRN,Iran (Islamic Republic of)
EMR,IRQ,Iraq
EUR,IRL,Ireland
EUR,ISR,Israel
EUR,ITA,Italy
AMR,JAM,Jamaica
WPR,JPN,Japan
EMR,JOR,Jordan
EUR,KAZ,Kazakhstan
AFR,KEN,Kenya
WPR,KIR,Kiribati
EMR,KWT,Kuwait
EUR,KGZ,Kyrgyzstan
WPR,LAO,Lao People's Democratic Republic (the)
EUR,LVA,Latvia
EMR,LBN,Lebanon
AFR,LSO,Lesotho
AFR,LBR,Liberia
EMR,LBY,Libya
EUR,LTU,Lithuania
EUR,LUX,Luxembourg
AFR,MDG,Madagascar
AFR,MWI,Malawi
WPR,MYS,Malaysia
SEAR,MDV,Maldives
AFR,MLI,Mali
EUR,MLT,Malta
WPR,MHL,Marshall Islands (the)
AFR,MRT,Mauritania
AFR,MUS,Mauritius
AMR,MEX,Mexico
WPR,FSM,Micronesia (Federated States of)
